"variable","class","missing_n","missing_pct"
"elevated_alt_traditional","numeric",15560,100
"adult_indicator","numeric",730,4.7
"is_pregnant_excluded","numeric",0,0
"has_valid_mec","numeric",0,0
"has_biomarker_data","numeric",0,0
"ast_ui_l","numeric",6156,39.6
"ast_alt_ratio","numeric",15560,100
"elevated_alt_aga2022","numeric",15560,100
"elevated_ast","numeric",6156,39.6
"liver_injury","numeric",15195,97.7
"uric_acid_mgdl","numeric",6223,40
"hyperuricemia","numeric",6223,40
"hdl_cholesterol_mgdl","numeric",15560,100
"dyslipidemia","numeric",15560,100
"leukocytosis","numeric",3762,24.2
"neutrophil_percent","numeric",3411,21.9
"lymphocyte_percent","numeric",3411,21.9
"serum_creatinine_mgdl","numeric",6091,39.1
"ckd_stage_kdigo","character",6152,39.5
"hcf_a_score","integer",12779,82.1
"hcf_a_layer","numeric",12779,82.1
"alpha1_raw","numeric",6035,38.8
"alpha2_raw","numeric",6035,38.8
"alpha3_raw","numeric",6035,38.8
"alpha4_raw","numeric",6035,38.8
"alpha1","numeric",6035,38.8
"alpha2","numeric",6035,38.8
"alpha3","numeric",6035,38.8
"alpha4","numeric",6035,38.8
"awareness_sleep","numeric",8781,56.4
"awareness_health","numeric",6045,38.8
"awareness_diet","numeric",7606,48.9
"awareness_symptom","numeric",6037,38.8
"acceptance_self","numeric",6045,38.8
"acceptance_relationship","numeric",6506,41.8
"acceptance_adversity","numeric",6037,38.8
"conflict1","numeric",6035,38.8
"conflict2","numeric",6035,38.8
"conflict3","numeric",6035,38.8
"conflict4","numeric",6035,38.8
"conflict5","numeric",6035,38.8
"conflict6","numeric",6035,38.8
"goal_edu","numeric",6035,38.8
"goal_economic","numeric",6035,38.8
"goal_health","numeric",6035,38.8
"depression_screen_positive","numeric",7325,47.1
"anxiety_symptom","numeric",7328,47.1
"depressive_symptom","numeric",7327,47.1
"H1_A","numeric",6035,38.8
"H2_A","numeric",6035,38.8
"H3_A","numeric",6035,38.8
"HCF_A_raw","numeric",6035,38.8
"HCF_A","numeric",6035,38.8
"H1_B","numeric",6035,38.8
"H2_B","numeric",6035,38.8
"H3_B","numeric",6035,38.8
"HCF_B_raw","numeric",6035,38.8
"HCF_B","numeric",6035,38.8
"H1_C","numeric",6035,38.8
"H2_C","numeric",6035,38.8
"H3_C","numeric",6035,38.8
"HCF_C_raw","numeric",6035,38.8
"HCF_C","numeric",6035,38.8
"H1_D","numeric",6035,38.8
"H2_D","numeric",6035,38.8
"H3_D","numeric",6035,38.8
"HCF_D_raw","numeric",6035,38.8
"HCF_D","numeric",6035,38.8
"HCF_type","factor",6035,38.8
"is_mixed","numeric",6035,38.8
"age_group","factor",6035,38.8
"rate_pressure_product","numeric",8630,55.5
"diabetes_diagnosed","numeric",6040,38.8
"leg_height_ratio","numeric",7305,46.9
"dpq010_clean","numeric",6035,38.8
"smoking_clean","numeric",6035,38.8
"drinking_clean","numeric",6035,38.8
"dpq010_z","numeric",6035,38.8
"smoking_z","numeric",6035,38.8
"drinking_z","numeric",6035,38.8
"avoidance_z","numeric",6035,38.8
"dpq090_clean","numeric",6035,38.8
"diet_clean","numeric",6035,38.8
"dpq090_z","numeric",6035,38.8
"diet_z","numeric",6035,38.8
"perseveration_z","numeric",6035,38.8
"hr_clean","numeric",8545,54.9
"hyperactivation_z","numeric",8545,54.9
"exhaustion_clean","numeric",6035,38.8
"exhaustion_z","numeric",6035,38.8
"pathway_cluster","integer",8545,54.9
"pathway_cluster_name","character",8545,54.9
"antihypertensive_med","numeric",5377,34.6
"antidiabetic_med","numeric",12886,82.8
"analysis_weight","numeric",0,0
"weight_source","character",0,0
"age_group_std","character",5948,38.2
